Date,Store ID,Store Type,Product ID,Product Name,Category,Horizon Days,Inventory Level,Incoming Units,Storage Capacity,Delivery Lead Time,Predicted Demand,Safety Stock,Required Stock,Available Stock,Remaining Store Capacity,Recommended Shipment,Priority
2024-01-05,S008,Warehouse Store,P0011,Mosaic Frozen Meal 11,Groceries,30,107,107,15500,6,2533,380,2913,214,15286,2699,Urgent
2024-01-05,S004,Warehouse Store,P0011,Mosaic Frozen Meal 11,Groceries,30,218,84,15500,6,2577,387,2964,302,15198,2662,Urgent
2024-01-05,S004,Warehouse Store,P0002,Everline Tea 2,Beverages,30,176,109,15500,6,2182,327,2509,285,15215,2224,Urgent
2024-01-05,S008,Warehouse Store,P0002,Everline Tea 2,Beverages,30,137,69,15500,6,2015,302,2317,206,15294,2111,Urgent
2024-01-05,S004,Warehouse Store,P0001,Oak & Co Bread 1,Groceries,30,249,18,15500,6,1728,259,1987,267,15233,1720,Urgent
2024-01-05,S008,Warehouse Store,P0021,Northfield Frozen Meal 21,Groceries,30,336,41,15500,6,1752,263,2015,377,15123,1638,Urgent
2024-01-05,S008,Warehouse Store,P0012,Creston Energy Drink 12,Beverages,30,286,41,15500,6,1654,248,1902,327,15173,1575,Urgent
2024-01-05,S008,Warehouse Store,P0017,Mosaic Shampoo 17,Personal Care,30,271,25,15500,6,1509,226,1735,296,15204,1439,Urgent
2024-01-05,S003,Large,P0011,Mosaic Frozen Meal 11,Groceries,14,72,72,9000,4,954,143,1097,144,8856,953,Urgent
2024-01-05,S007,Large,P0011,Mosaic Frozen Meal 11,Groceries,14,76,76,9000,4,957,144,1101,152,8848,949,Urgent
2024-01-05,S007,Large,P0002,Everline Tea 2,Beverages,14,93,73,9000,4,923,138,1061,166,8834,895,Urgent
2024-01-05,S003,Large,P0002,Everline Tea 2,Beverages,14,66,66,9000,4,883,132,1015,132,8868,883,Urgent
2024-01-05,S003,Large,P0001,Oak & Co Bread 1,Groceries,14,185,61,9000,4,657,99,756,246,8754,510,Urgent
2024-01-05,S007,Large,P0001,Oak & Co Bread 1,Groceries,14,181,59,9000,4,650,98,748,240,8760,508,Urgent
2024-01-05,S003,Large,P0021,Northfield Frozen Meal 21,Groceries,14,149,38,9000,4,524,79,603,187,8813,416,Urgent
2024-01-05,S002,Medium,P0011,Mosaic Frozen Meal 11,Groceries,7,100,38,5250,2,396,59,455,138,5112,317,Urgent
2024-01-05,S010,Medium,P0011,Mosaic Frozen Meal 11,Groceries,7,78,55,5250,2,376,56,432,133,5117,299,Urgent
2024-01-05,S009,Small,P0011,Mosaic Frozen Meal 11,Groceries,3,46,28,3250,1,138,21,159,74,3176,85,Urgent
2024-01-05,S005,Small,P0023,DailyChoice T-Shirt 23,Clothing,3,7,4,3250,1,33,5,38,11,3239,27,Urgent
2024-01-05,S005,Small,P0005,Summit Bookshelf 5,Furniture,3,0,0,3250,1,6,1,7,0,3250,7,Urgent
2024-01-05,S001,Small,P0005,Summit Bookshelf 5,Furniture,3,1,1,3250,1,6,1,7,2,3248,5,Urgent
2024-01-05,S008,Warehouse Store,P0001,Oak & Co Bread 1,Groceries,30,320,59,15500,6,1481,222,1703,379,15121,1324,High
2024-01-05,S004,Warehouse Store,P0017,Mosaic Shampoo 17,Personal Care,30,358,101,15500,6,1441,216,1657,459,15041,1198,High
2024-01-05,S004,Warehouse Store,P0012,Creston Energy Drink 12,Beverages,30,398,45,15500,6,1474,221,1695,443,15057,1252,Normal
2024-01-05,S004,Warehouse Store,P0021,Northfield Frozen Meal 21,Groceries,30,326,37,15500,6,1159,174,1333,363,15137,970,Normal
2024-01-05,S008,Warehouse Store,P0018,Everline Detergent 18,Household,30,389,44,15500,6,1166,175,1341,433,15067,908,Normal
2024-01-05,S004,Warehouse Store,P0018,Everline Detergent 18,Household,30,411,22,15500,6,1148,172,1320,433,15067,887,Normal
2024-01-05,S008,Warehouse Store,P0008,Northfield Storage Box 8,Household,30,371,32,15500,6,1041,156,1197,403,15097,794,Normal
2024-01-05,S004,Warehouse Store,P0008,Northfield Storage Box 8,Household,30,378,52,15500,6,1038,156,1194,430,15070,764,Normal
2024-01-05,S008,Warehouse Store,P0020,Everline Marker Set 20,Office Supplies,30,437,33,15500,6,925,139,1064,470,15030,594,Normal
2024-01-05,S008,Warehouse Store,P0022,Everline Orange Juice 22,Beverages,30,489,17,15500,6,896,134,1030,506,14994,524,Normal
2024-01-05,S004,Warehouse Store,P0020,Everline Marker Set 20,Office Supplies,30,442,23,15500,6,859,129,988,465,15035,523,Normal
2024-01-05,S004,Warehouse Store,P0014,Nova Headphones 14,Electronics,30,422,25,15500,6,811,122,933,447,15053,486,Normal
